City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Discription
185,Victoria,22.2855,114.1577,78.24,63,0,5.01,HK,clear sky
186,Kaitangata,-46.2817,169.8464,62.06,53,6,8.57,NZ,clear sky
187,Bang Saphan,11.2126,99.5117,81.68,68,92,1.86,TH,overcast clouds
188,Tongren,27.7172,109.1853,70.74,72,23,3.87,CN,few clouds
189,Ponta Do Sol,32.6667,-17.1,61.0,75,54,5.99,PT,broken clouds
190,Paamiut,61.994,-49.6678,23.77,74,98,7.09,GL,overcast clouds
191,Nouadhibou,20.931,-17.0347,62.58,88,0,17.27,MR,clear sky
192,Fort Nelson,58.8053,-122.7002,40.59,33,20,11.5,CA,few clouds
193,Tutoia,-2.7619,-42.2744,77.13,93,100,10.22,BR,light rain
194,Harer,9.3094,42.1258,60.58,63,0,4.92,ET,clear sky
195,Joura,26.3411,77.8115,82.85,15,4,7.36,IN,clear sky
196,Padang,-0.9492,100.3543,80.65,67,87,1.66,ID,overcast clouds
197,Faya,18.3851,42.4509,59.11,47,0,2.68,SA,clear sky
198,Mahebourg,-20.4081,57.7,75.49,94,75,11.5,MU,light intensity shower rain
199,Iqaluit,63.7506,-68.5145,20.93,92,100,6.91,CA,light snow
200,Coquimbo,-29.9533,-71.3436,55.13,94,1,4.61,CL,clear sky
201,Namibe,-15.1961,12.1522,71.15,78,7,5.01,AO,clear sky
202,New Norfolk,-42.7826,147.0587,77.67,42,100,5.99,AU,overcast clouds
203,Grand Gaube,-20.0064,57.6608,75.6,86,8,3.0,MU,clear sky
204,Isangel,-19.55,169.2667,84.85,71,6,12.57,VU,clear sky
205,Letlhakane,-21.4167,25.5833,61.25,80,42,16.22,BW,scattered clouds
206,Longyearbyen,78.2186,15.6401,19.24,68,40,20.71,SJ,scattered clouds
207,Puerto Ayora,-0.7393,-90.3518,78.71,83,24,5.59,EC,few clouds
208,Sorland,67.667,12.6934,39.78,81,100,16.08,NO,overcast clouds
209,Praia Da Vitoria,38.7333,-27.0667,53.85,82,20,27.49,PT,few clouds
210,Oussouye,12.485,-16.5469,72.1,66,4,8.93,SN,clear sky
211,Kaarina,60.4072,22.369,34.77,94,20,6.91,FI,few clouds
