City_ID,City,Country,Max Temp,Current Discription,Lat,Lng,Hotel Name
239,Saint-Francois,FR,30.67,clear sky,46.4154,3.9054,Manoir Du Bonheur
240,Prachuap Khiri Khan,TH,79.68,overcast clouds,12.2167,99.75,ผกากรองรีสอร์ท
241,Gat,IL,64.4,clear sky,31.61,34.7642,OlusHome
242,Pevek,RU,-9.13,few clouds,69.7008,170.3133,Severnoye Zoloto
243,Sharanga,RU,36.59,overcast clouds,57.1775,46.5396,Yuronga
244,Mehamn,NO,34.39,overcast clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
245,Mtwara,TZ,74.57,clear sky,-10.2667,40.1833,TIL Hotels Mtwara
246,Hvide Sande,DK,40.08,few clouds,56.0045,8.1294,Hvide Sande Hotel
247,Selma,US,80.1,clear sky,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
249,Malindi,KE,81.54,few clouds,-3.2175,40.1191,African House Resort
251,Caravelas,BR,76.17,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
252,Vao,NC,77.81,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
253,Lagoa,PT,55.35,overcast clouds,39.05,-27.9833,Casa Das Faias
254,Antalaha,MG,72.57,broken clouds,-14.9003,50.2788,Hotel Vitasoa
255,Porto Santo,PT,61.18,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
256,Taft,IR,64.35,clear sky,31.7471,54.2088,عمارت ساعتی تفت
257,Bartlesville,US,71.55,clear sky,36.7473,-95.9808,Hilton Garden Inn Bartlesville
258,Cadillac,US,31.91,broken clouds,44.2519,-85.4012,"Holiday Inn Express & Suites Cadillac, an IHG Hotel"
259,Chandil,IN,80.4,few clouds,22.9667,86.05,Sagun Hembram
260,Chardara,KZ,67.14,overcast clouds,41.2547,67.9692,Жанаргул
262,Kampot,KH,78.85,overcast clouds,10.6167,104.1833,Two Moons Hotel
264,Mizdah,LY,60.94,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
265,Tateyama,JP,64.54,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
267,Ust-Tsilma,RU,36.72,overcast clouds,65.441,52.1498,U Praskov'i
268,Portland,US,51.46,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
269,Male,MV,84.24,broken clouds,4.1748,73.5089,Hotel Octave Maldives
270,La Maddalena,IT,53.65,clear sky,41.2142,9.4083,Hotel Il Gabbiano
271,Nouakchott,MR,69.73,clear sky,18.0858,-15.9785,HOTEL IMAN
273,Cabinda,AO,78.51,light rain,-5.55,12.2,Hotel Maiombe
274,Aberdeen,GB,32.65,broken clouds,57.1437,-2.0981,Premier Inn Aberdeen City Centre hotel
275,Igra,RU,36.73,overcast clouds,57.5558,53.0547,Hostel Dilizhans
276,Saint-Pierre,RE,76.68,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
277,Itupiranga,BR,75.06,light rain,-5.1347,-49.3267,Hotel Panorama
278,Bethel,US,46.94,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
279,Zeya,RU,33.4,overcast clouds,53.75,127.2667,Kapital Inn
280,Dunedin,NZ,61.84,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
281,Buala,SB,85.55,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
282,Warkworth,NZ,72.91,few clouds,-36.4,174.6667,Bridge House Lodge Bar & Restaurant
283,Brae,GB,36.84,overcast clouds,60.3964,-1.353,Busta House Hotel
284,Mandurah,AU,68.92,clear sky,-32.55,115.7,Atrium Hotel Mandurah
285,Saint George,US,84.43,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
286,Bafilo,TG,74.46,overcast clouds,9.35,1.2667,Hôtel Assoli
287,Zephyrhills,US,60.94,clear sky,28.2336,-82.1812,Microtel Inn & Suites by Wyndham Zephyrhills
288,Rio Branco,BR,77.61,thunderstorm,-9.9747,-67.81,Hotel Guapindaia Bosque
289,Kachiry,KZ,33.42,clear sky,53.0675,76.1036,"Ночной клуб BasMax, Гостиница , Ресторан , Магазин-автозап. сто вулканизатор ,"
290,Williams Lake,CA,40.05,broken clouds,52.1415,-122.1445,Stampeder Motel
291,Havoysund,NO,37.63,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
292,San Angelo,US,82.62,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
294,La Paz,BO,44.58,broken clouds,-16.5,-68.15,Hotel Presidente
295,Miguel Hidalgo,MX,56.61,overcast clouds,19.4225,-99.2028,JW Marriott Hotel Mexico City
296,Kosh-Agach,RU,18.81,clear sky,50.0,88.6667,Fermerskiy Dom v Kosh-Agache
297,Yarada,IN,82.72,mist,17.65,83.2667,Yarada Jungle Beach Resorts
298,Mayo,US,51.98,few clouds,38.8876,-76.5119,Resorts Resource Group International
299,Libreville,GA,75.22,few clouds,0.3925,9.4537,Le Méridien Re-Ndama
300,Vestmanna,FO,32.92,overcast clouds,62.1564,-7.1664,Vestmanna Camping
301,Urumqi,CN,49.15,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
302,Lasa,IT,31.69,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
303,Qasigiannguit,GL,8.85,broken clouds,68.8193,-51.1922,Almost HOME
304,Kaeo,NZ,68.32,overcast clouds,-35.1,173.7833,Bushido Lodge
305,Najran,SA,66.85,clear sky,17.4924,44.1277,محمد هادي ال فطيح
306,Koppies,ZA,52.59,light rain,-27.2418,27.5742,Friesland Hotel
307,Carballo,ES,54.01,overcast clouds,43.213,-8.691,Pazo do Souto
308,Morococha,PE,36.7,light rain,-11.5997,-76.1411,Hospedaje Havipor
309,Vad,RU,37.45,overcast clouds,55.5301,44.2114,Riv'yera Rezort Otel'
310,Namwala,ZM,64.51,overcast clouds,-15.7504,26.4384,Corner Point Lodge
311,Alekseyevskoye,RU,37.74,overcast clouds,55.3071,50.1135,"Motel' ""Kurlyanka"""
312,Mogadishu,SO,81.1,overcast clouds,2.0371,45.3438,Hotel Juba
313,Sovetskiy,RU,32.56,overcast clouds,61.3614,63.5842,Apartment on Kievskaya 29
314,Westport,US,49.98,few clouds,41.1415,-73.3579,The Inn at Longshore
315,Ferrol,ES,53.67,overcast clouds,43.4832,-8.2369,Hotel Spa Sercotel Odeón
316,Esperance,AU,61.5,broken clouds,-33.8667,121.9,Hospitality Esperance
317,Presidencia Roque Saenz Pena,AR,72.39,overcast clouds,-26.7852,-60.4388,Hotel Gualok
318,Hofn,IS,30.61,overcast clouds,64.2539,-15.2082,Hótel Höfn
319,Inuvik,CA,9.36,light snow,68.3499,-133.7218,Nova Inn Inuvik
320,Hohhot,CN,64.69,scattered clouds,40.8106,111.6522,Sheraton Hohhot Hotel
321,Korla,CN,64.51,overcast clouds,41.7597,86.1469,Gulisitan Hotel
322,Seydi,TM,72.32,overcast clouds,39.4816,62.9137,Seydi oteli
323,Harper,LR,79.92,light rain,4.375,-7.7169,Screensaver
324,Chuy,UY,65.03,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
325,Salym,RU,13.87,overcast clouds,60.0625,71.4789,Gostinitsa Salym
326,Mangochi,MW,66.78,few clouds,-14.4782,35.2645,Fort Johnstone Hotel
327,Chapais,CA,31.78,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
328,Sambava,MG,73.44,overcast clouds,-14.2667,50.1667,Melrose
329,Brunswick,US,39.25,overcast clouds,41.2381,-81.8418,Quality Inn Brunswick Cleveland South
330,Ilulissat,GL,8.62,overcast clouds,69.2167,-51.1,Hotel Arctic
332,Svetlogorsk,BY,37.15,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
333,Paducah,US,57.33,clear sky,37.0834,-88.6001,"Holiday Inn Paducah Riverfront, an IHG Hotel"
334,Pemangkat,ID,79.83,broken clouds,1.1667,108.9667,Ramah Kost KITA
335,Ulaangom,MN,31.95,overcast clouds,49.9811,92.0667,Achit Nuur Hotel & Restaurant
336,Miedzyrzec Podlaski,PL,33.85,few clouds,51.9864,22.7825,Las Vegas. Usługi hotelarskie. Borkowicz B
337,Sandwick,GB,37.22,overcast clouds,60.0,-1.25,Beach House Self-Catering Accomodation
338,Sao Felix Do Xingu,BR,72.95,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
339,Lompoc,US,77.56,haze,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
340,Bereda,ES,46.58,overcast clouds,43.2686,-7.5406,Pazo de Verdes
341,Tarquinia,IT,44.64,overcast clouds,42.2482,11.7553,Hotel Villa Tirreno
